	Particle centroid in image (mm)			Lengths (mm)						Coordinates of principal directions l, m and n								
21	404.86	368.58	99.01	46.55	36.78	38.14	44.14	36.76	35.88	-0.02	0.56	0.83	0.96	0.25	-0.14	-0.28	0.79	-0.55
22	331.84	319.27	96.66	55.07	21.53	27.79	28.55	16.13	17.84	0.54	0.39	0.74	0.7	-0.7	-0.15	-0.46	-0.6	0.65
23	428.33	107.95	90.24	29.99	27.67	15.13	19.59	13.63	16.77	0.17	-0.13	0.98	0.94	0.31	-0.13	-0.29	0.94	0.18
24	308.45	605.25	122.08	113.99	63.07	44.2	69.1	57.36	43.45	0.76	0.44	-0.47	-0.54	0.84	-0.09	0.36	0.32	0.88
25	133.34	207.77	100.29	81.62	39.16	40.92	35.52	56.66	11.81	0.77	0.63	0.14	0.32	-0.56	0.77	-0.56	0.55	0.62
26	553.99	170.74	94.86	58.55	46.56	57.11	50.29	32.09	30.45	0.92	0.25	-0.3	-0.28	0.96	-0.07	0.27	0.14	0.95
27	457.21	56.59	66.26	3.4	1.74	3.06	1.56	2.28	0.85	-0.04	-0.13	0.99	0.38	0.92	0.13	0.92	-0.38	-0.01
28	362.3	429.37	101.86	47.44	39.74	34.66	24.99	27.23	14.03	0.73	-0.02	0.68	-0.49	0.68	0.55	0.48	0.73	-0.49
29	478.65	216.1	77.06	29.16	10.25	13.07	9.73	6.07	14.85	0.04	-0.21	0.98	0.56	0.81	0.15	0.83	-0.54	-0.15
30	460.75	259.31	109.69	56.12	13.01	37.57	24.95	22.81	13.42	0.8	0.53	0.28	-0.44	0.21	0.87	-0.41	0.82	-0.4
31	387.6	268.74	153.78	95.58	69.91	52.82	58.15	41.49	39.59	0.34	-0.44	0.83	0.87	-0.18	-0.46	0.35	0.88	0.32
32	458.82	302.9	133.82	84.15	58.49	62.96	32.61	57.34	21.19	0.6	-0.38	0.71	0.43	0.9	0.12	-0.68	0.23	0.7
33	343.49	498.06	119.74	48.57	64.39	41.25	44.12	31.09	31.32	0.58	0.72	-0.39	-0.49	0.69	0.53	0.65	-0.11	0.75
34	229.95	303.29	156.5	110.68	111.54	97.3	110.24	78.52	51.53	0.97	-0.05	0.24	0.15	0.89	-0.42	-0.19	0.45	0.87
35	344.39	352.46	82.41	3.76	0.63	2.19	1.69	2.48	0.86	0.21	0.21	0.96	-0.71	0.71	-3.33E-016	0.68	0.68	-0.3
36	638.04	248.03	102.43	19.45	19.11	19.01	15.71	13.18	12.3	0.41	0.26	0.87	-0.58	0.82	0.03	0.7	0.51	-0.49
37	431.14	281.86	97.09	21.35	20.2	23.78	10.33	13.31	13.4	0.4	0.41	0.82	0.87	0.1	-0.48	-0.28	0.91	-0.32
38	274.99	435.37	116.14	30.85	35.67	32.76	27.78	17.51	27.26	0.51	0.59	0.63	-0.49	-0.4	0.77	0.71	-0.7	0.08
39	189.62	405.14	135.61	45.06	80.33	51.17	39.09	37.14	11.1	0.58	0.73	0.36	0.2	-0.55	0.81	0.79	-0.4	-0.47
40	378.22	105.74	165.19	83.37	86.29	60.21	90.71	33.48	44.55	-0.5	0.48	0.72	0.72	-0.23	0.65	0.48	0.84	-0.24
41	268.92	95.97	125.86	63.53	29.83	47.23	39.96	24.65	36.98	-0.53	-0.11	0.84	0.37	0.86	0.35	0.76	-0.49	0.42
42	501.07	221.13	141.04	60.57	51.03	45.67	36.74	20.7	32.84	-0.11	0.01	0.99	-0.13	0.99	-0.02	0.99	0.13	0.11
43	573.37	221.88	114.9	53.84	55.05	61.89	33.97	27.83	18.35	0.72	0.52	-0.45	-0.66	0.71	-0.24	0.2	0.47	0.86
44	632.5	223	93.5	2.85	1.85	2.44	1.44	2.12	1.12	-0.37	0.85	0.37	0.71	-5.98E-016	0.71	0.6	0.52	-0.6
45	323.39	232.85	157.44	38.85	48.75	16.57	64.08	31.55	26.47	0.37	-0.49	0.79	-0.4	0.69	0.61	0.84	0.54	-0.06
46	620.07	252.51	135.33	50.5	46.38	26.28	28.72	24.26	16.44	-0.36	0.8	-0.47	-0.56	0.22	0.8	0.75	0.55	0.37
47	93.71	268.3	142.06	73.03	65.5	49.89	17.73	11.08	33.17	-0.19	0.83	-0.53	-0.63	0.31	0.71	0.76	0.47	0.46
48	601.11	470.14	195.12	78.34	74.38	38.51	97.61	47.71	49.05	0.2	-0.11	0.97	-0.62	0.75	0.21	0.76	0.65	-0.08
49	325.86	329.4	125.38	28.71	37.35	23.83	29.17	16.49	19.49	0.75	-0.52	0.4	-0.09	0.52	0.85	0.65	0.68	-0.35
50	106.71	365.78	131.38	48.27	58.52	31.64	44.88	24.06	15.66	0.39	0.86	-0.31	0.76	-0.5	-0.41	0.51	0.07	0.86
51	397.68	479.58	156.24	49.07	69.06	44.97	37.95	26.93	55.98	0.89	-0.18	-0.42	0.01	0.93	-0.36	0.45	0.31	0.83
52	431.67	595.14	211.7	53.76	150.4	83.86	75.33	58.55	57.86	0.75	-0.3	-0.59	0.39	-0.51	0.76	0.53	0.8	0.27
53	323.2	261.64	120.73	16.06	17.3	17.78	15.6	11.04	9.94	0.94	0.14	0.31	-0.34	0.42	0.84	0.02	0.89	-0.45
54	157.96	442.51	156.63	65.86	64.64	34.43	69.54	40.9	38.77	0.35	0.94	0	0.81	-0.3	-0.51	0.48	-0.18	0.86
55	373.22	370.93	142.38	28.92	57.9	34.43	37.68	25.43	12.55	0.8	0.26	0.54	0.15	0.78	-0.61	-0.58	0.57	0.58
56	263.64	396.99	156.71	46.2	51.79	47.46	40.59	22.8	15.77	0.96	0.16	0.22	-0.17	-0.3	0.94	-0.22	0.94	0.26
57	189.59	159.21	166.04	40.82	65.04	53.12	40.99	21.27	44.26	-0.33	0.89	-0.31	-0.03	0.32	0.95	0.94	0.32	-0.08
58	344.82	432.14	193.8	82.03	85.8	85.41	41.94	51.07	64.96	-0.31	0.4	0.86	0.95	0.2	0.25	-0.07	0.9	-0.44
59	540.25	159.03	170.94	71.64	69.9	64.23	23.57	39.56	28.64	0.44	0.41	0.8	0.85	0.09	-0.52	-0.29	0.91	-0.31
60	513.1	525.78	191.85	100.13	38.03	62.05	47.76	29.08	22.6	0.7	0.28	0.66	-0.21	0.96	-0.19	-0.69	0	0.73
61	249.51	458.42	187.37	88.98	67.99	49.79	44.25	26.64	54.31	0.44	-0.48	0.75	0.79	0.61	-0.07	-0.43	0.62	0.65
62	425.96	381.31	164.97	74.17	12.98	32.28	38.79	24.83	29.23	0.04	0.93	-0.36	-0.63	0.3	0.71	0.77	0.19	0.61
63	533.76	272.53	172.11	33.03	44.31	34.39	22.82	24.52	23.09	0.06	-0.25	0.97	0.96	0.27	0.01	-0.26	0.93	0.25
64	576.29	342.42	191.11	91.45	56.36	66.37	40.51	26.41	37.25	0.74	0.49	0.46	-0.61	0.78	0.16	-0.28	-0.4	0.88
65	276.58	89.86	183.25	51.47	40.45	32.11	18.87	16.03	25.07	0.71	0.2	-0.67	-0.01	0.96	0.28	0.7	-0.19	0.68
66	591.99	253.14	156.42	69.23	17.13	24.14	25.68	16.81	22.33	-0.1	0.9	0.42	0.08	-0.41	0.91	0.99	0.13	-0.03
67	95.17	339.7	171.9	41.21	39.29	37.14	32.71	19.48	19.6	0.47	0.88	0.05	0.79	-0.39	-0.48	0.41	-0.26	0.88
68	349.41	174.88	207.77	61.99	52.11	29.97	53.33	21.78	17.54	-0.7	-0.08	0.71	0.67	0.27	0.69	-0.25	0.96	-0.13
69	465.73	144.91	220.36	53.84	80.35	53.66	53.29	43.14	48.55	-0.28	0.7	-0.66	0.64	0.65	0.41	0.71	-0.31	-0.63
70	267.82	182.34	181.6	34.23	48.12	15.1	42.79	21.75	19.55	0.83	-0.18	0.53	-0.02	0.93	0.36	-0.55	-0.31	0.77
71	538.83	225.91	191.36	42.45	50.6	49.09	31.86	28.05	35.04	-0.6	0.3	0.74	0.75	-0.11	0.65	0.28	0.95	-0.16
72	462.52	257.09	180.36	23.71	35.43	13.98	18.14	17.43	7.81	-0.09	0.97	0.21	0.57	-0.12	0.81	0.82	0.19	-0.54
73	635.66	279.38	201.63	34.93	64.65	29.68	48.1	42.15	23.34	0.87	0.17	-0.47	0.08	0.88	0.48	0.49	-0.45	0.75
74	449.84	212.24	184.1	31.33	20.29	9.06	17.78	8.29	14.8	-0.45	-0.38	0.81	-0.62	0.79	0.02	0.65	0.49	0.59
75	541.31	115.66	191.48	26.87	28.98	15.36	16.14	11.21	13.7	-0.28	0.18	0.94	0.96	0.06	0.27	-0.01	0.98	-0.19
76	325.13	73.4	200.95	36.23	41.22	27.41	32.2	19.9	29.1	-0.48	0.22	0.85	0.61	0.78	0.15	0.63	-0.59	0.51
77	153.42	158.84	212.52	63.41	27.16	38.47	18.82	30.89	21.57	-0.02	-0.32	0.95	0.95	0.28	0.11	-0.3	0.91	0.3
78	237.44	548.97	228.79	100.17	113.85	60.76	66.24	46.41	64.14	0.87	0.5	-0.05	-0.16	0.37	0.92	-0.47	0.79	-0.4
79	331.69	355.2	189.36	25.55	40.73	28.67	18.6	10.86	9.18	0.94	-0.26	-0.24	0.08	0.81	-0.58	0.34	0.53	0.78
80	229.7	157.46	234.61	77.42	74.37	41.51	59.76	38.77	43.77	0	0.82	0.58	0.97	0.13	-0.2	0.24	-0.56	0.79
81	375.96	319.98	205.88	29.33	49.76	37.49	23.64	26.12	20.87	0.31	0.73	-0.61	0.94	-0.15	0.31	-0.14	0.67	0.73
82	484.77	485.59	210.73	76.76	110.22	81.8	33.25	58.87	34.48	0.93	0.14	0.34	-0.24	-0.49	0.84	-0.29	0.86	0.42
83	472.58	227.27	237.13	32.66	61.5	26.17	37.02	12.01	41.55	-0.16	0.07	0.98	0.98	0.07	0.16	-0.06	1	-0.08
84	448.54	414.82	205.79	39.4	28.93	30.62	38.72	16.35	24.41	0.56	0.09	0.83	-0.42	0.89	0.18	0.72	0.45	-0.53
85	408.6	208.39	216.4	30.09	47.03	22.2	27.67	21.29	21.62	0.37	-0.64	0.68	0.71	-0.27	-0.65	0.59	0.72	0.36
86	443.78	226.95	186.77	14	13.4	9.59	10.24	13.22	2.57	0.53	0.77	-0.36	-0.04	0.45	0.89	0.85	-0.46	0.26
87	169.01	343.85	294.02	180.52	99.16	129.67	108.78	71.85	70.37	0.73	-0.42	0.54	0.47	0.88	0.05	-0.5	0.22	0.84
88	488.69	286.46	233.92	89.65	54.12	87.11	36.94	50.64	54.63	-0.15	0.94	-0.3	0.99	0.12	-0.1	0.05	0.31	0.95
89	529.95	415.99	230.79	63.94	77.69	46.12	54.62	43.95	42.34	0.74	-0.1	0.67	-0.49	0.59	0.64	0.46	0.8	-0.39
90	513.58	106.57	210.82	29.78	23.58	9.83	31.48	6.61	17.13	0.69	-0.16	0.7	0.41	0.89	-0.21	-0.59	0.44	0.68
91	448.3	285.08	199.4	39.77	15.37	22.2	31.06	14.09	16.79	-0.01	0.87	0.5	0.71	0.36	-0.61	0.71	-0.34	0.62
92	410.22	168.16	203.87	16.23	21.26	19.77	10.8	12.5	8.23	-0.45	0.02	0.89	0.75	0.55	0.36	-0.48	0.83	-0.27
93	365.17	242.49	221	75.39	42.88	31.14	45.75	20.55	10.5	-0.57	0.82	0.03	0.47	0.3	0.83	0.67	0.48	-0.56
94	449.72	247.97	211.56	51.02	27.09	27.24	29.81	20.62	14.06	-0.09	0.7	0.71	0.45	0.67	-0.6	0.89	-0.26	0.37
95	621.02	230.45	224.21	33.05	35.72	14.97	32.76	11.64	9.16	0.14	-0.38	0.92	0.9	0.43	0.04	-0.4	0.82	0.4
96	249.96	392.33	216.68	40.17	51.49	36.11	31.51	22.72	20.95	-0.66	0.75	-0.11	0.71	0.66	0.24	-0.25	-0.07	0.97
97	153.78	220.57	248.21	69.24	38.03	55.11	44.18	37.92	34.32	0.94	0.31	0.17	-0.04	-0.38	0.92	-0.35	0.87	0.35
98	558.3	342.22	222.75	26.3	26.69	23.26	24.07	18.67	11.33	-0.46	0.84	-0.28	0.54	0.51	0.67	0.71	0.16	-0.69
99	647.57	318.3	234.51	31.51	28.19	22.11	29.1	22.72	12.6	0.41	0.64	0.65	-0.08	-0.69	0.72	0.91	-0.34	-0.23
100	584.82	402.43	232.75	40.52	30.61	25.01	33.23	23.76	8.5	0.42	0.45	0.79	0.46	0.64	-0.61	0.78	-0.62	-0.07
101	306.23	352.75	238.51	35.95	47.41	21.18	29.87	24.58	20	0.74	-0.36	-0.57	0.67	0.4	0.63	-0.01	0.84	-0.54
102	277.8	120.13	258.62	69.68	69.11	54.47	44.76	33.06	23.54	0.14	0.9	0.41	-0.59	-0.26	0.76	0.79	-0.35	0.5
103	432.3	191.43	234.73	14.39	29.59	12.45	13.59	10.15	6.44	-0.3	0.03	0.95	0	1	-0.03	0.95	0.01	0.3
104	663.13	310.82	214.72	10.97	5.83	7.41	6.91	5.4	5.06	0.34	0.72	-0.61	-0.54	0.68	0.5	0.77	0.16	0.62
105	409.68	369.66	285.48	33.3	120.04	52.25	38.3	37.29	44.01	-0.17	0.95	0.27	0.11	-0.25	0.96	0.98	0.19	-0.06
106	636.31	209.48	213.15	9.96	5.22	4.17	4.98	2.65	1	0.24	0.58	0.78	0.32	0.72	-0.62	0.92	-0.39	0.01
107	346.82	354.37	252.04	49.31	48.35	51.35	34.45	14.28	15.9	0.52	0.85	-0.1	-0.36	0.32	0.88	0.77	-0.42	0.47
108	304.35	248.23	314.93	103.76	84.52	47.42	98.57	55.76	88.48	0.87	-0.27	0.41	0.48	0.66	-0.58	-0.11	0.7	0.71
109	593.81	334.88	233.58	53.41	30.58	22.95	32.18	13.96	11.76	-0.4	0.79	0.47	0.84	0.52	-0.16	0.37	-0.33	0.87
110	559.08	158.37	253.09	49.15	49.84	31.4	8.47	1.53	23.28	0.6	-0.51	0.62	0.8	0.42	-0.42	-0.05	0.75	0.66
111	118	177.33	215.11	2.39	1.61	1.17	0.83	0.5	1.5	0	0	1	0	1	0	1	0	0
112	318.19	517.26	259.76	58.37	48.93	29.04	41.16	32.84	20.14	-0.17	-0.07	0.98	0.62	0.77	0.16	0.77	-0.63	0.08
113	403.99	115.12	244.2	72.27	54.28	33.92	43.38	30.92	22.68	-0.27	0.96	-0.09	0.95	0.25	-0.18	0.15	0.14	0.98
114	323.45	100.53	247.39	99.41	22.39	33.4	50.06	40.73	18.32	0.41	0.72	-0.55	-0.22	0.67	0.71	0.88	-0.17	0.43
115	583.81	206.35	265.29	63.83	35.41	47.22	21.72	39.72	25.44	0.26	0.32	0.91	-0.64	0.76	-0.09	0.72	0.56	-0.41
116	641.44	383.88	262.04	41.71	64.18	27.99	32.72	25.44	24.89	-0.19	0.84	-0.51	0.96	0.05	-0.27	0.2	0.54	0.81
117	604.92	300.07	281.78	40.35	61.55	55.04	35.67	18.83	53.59	0.57	0.79	-0.22	0.8	-0.6	-0.08	0.2	0.13	0.97
118	666.94	375.23	230	4.22	2.75	3.78	0.54	1.66	2.26	-0.48	0.86	-0.19	0.33	0.37	0.87	0.81	0.35	-0.46
119	665.93	375.4	231.94	3.6	3.57	2.62	1.75	2.33	1.08	-0.37	0.87	-0.32	0.78	0.48	0.4	-0.5	0.1	0.86
120	639.19	238.21	249.93	14.21	39.16	22.54	21.83	20.2	10.55	0.93	0.19	0.32	-0.16	-0.56	0.81	-0.34	0.81	0.48
121	373.18	336.26	241.66	14.16	10.96	5.19	16.55	13.66	6.13	0.62	0.76	-0.2	0.22	0.08	0.97	0.76	-0.64	-0.11
122	525.23	215.32	256.33	84.39	23.78	33.56	35.27	34.43	27.77	0.27	0.91	0.32	-0.53	-0.14	0.84	0.8	-0.4	0.44
123	313.71	188.68	243.1	8.05	5.31	5.67	0.13	1.9	1.63	-0.13	-0.56	0.82	0.64	0.58	0.5	0.76	-0.59	-0.28
124	306.58	192.7	246.1	8.55	10.6	5.15	8.72	2.73	3.37	-0.49	-0.37	0.79	0.87	-0.3	0.4	0.08	0.88	0.47
125	471.62	419.4	282.6	60.39	49.89	38.76	21.49	21.02	25.97	-0.4	-0.1	0.91	0.91	-0.11	0.39	0.06	0.99	0.14
126	382.8	305.43	302.35	83.68	95.49	66.68	50.49	46.97	26.26	-0.47	0.83	0.31	0.54	0	0.84	0.69	0.56	-0.45
127	309.06	186.54	250.02	3.04	2.29	1.85	0.98	1.81	1.07	0.67	0.33	-0.67	0.71	-6.66E-016	0.71	-0.23	0.94	0.23
128	357.65	156.69	294.39	44.56	56.26	33.64	20.87	24.04	23.28	-0.16	-0.64	0.75	0.22	0.72	0.66	0.96	-0.27	-0.02
129	411.7	178.15	270.33	39.42	36.47	27.07	37.19	21.58	14.56	0.94	-0.33	-0.01	0.3	0.86	-0.41	0.15	0.38	0.91
130	624.44	463.21	282.38	24.95	76.21	57.36	34.57	25.35	15.86	0.96	-0.04	-0.26	-0.05	0.94	-0.34	0.26	0.34	0.9
131	546.63	124.09	269.79	24.28	19.9	15.46	21.74	12.05	13.25	0.1	-0.52	0.85	0.98	-0.11	-0.18	0.19	0.85	0.5
132	597.08	266.38	257.03	7.12	8.97	4.87	9.63	5.95	5.15	0.92	-0.12	-0.38	-0.14	0.8	-0.59	0.37	0.59	0.72
133	519.81	130.9	269.63	22.47	21.09	11.11	16.05	8.21	11.97	-0.25	0.7	0.67	0.56	0.66	-0.49	0.79	-0.25	0.56
134	373.2	517.19	293.98	42.96	48.11	27.88	44.94	41.6	20.01	0.67	-0.51	-0.55	0.17	-0.61	0.77	0.72	0.61	0.32
135	563.6	325.05	270.07	19.3	17.96	24.22	13.26	10.73	15.47	0.38	0.92	0.05	0.68	-0.32	0.66	-0.62	0.22	0.75
136	663.37	293.53	257.29	4.93	2.78	3.55	0.66	1.21	2.1	-0.14	0.78	0.6	-0.08	-0.62	0.78	0.99	0.06	0.15
137	661.05	291.56	260.37	4.14	5.34	2.77	1.92	1.86	1.62	-0.18	0.92	0.33	-0.43	-0.38	0.82	0.88	0.01	0.47
138	505.8	98.31	278.07	40.52	22.58	22.04	11.7	33.39	5.2	0.87	-0.26	-0.43	0.33	-0.33	0.88	0.37	0.91	0.2
139	341.3	414.39	294.27	39.84	50.22	31.25	29.94	27.81	21.95	0.76	-0.63	-0.16	0.26	0.07	0.96	0.6	0.77	-0.22
140	311.93	346.24	285.42	24	39.16	20.67	20.12	16.37	15.33	-0.12	0.89	0.45	0.64	-0.28	0.72	0.76	0.37	-0.53
141	631.93	221.76	266.37	8.19	3.76	5.77	3.85	2.16	3.71	-0.47	-0.11	0.88	0.82	-0.42	0.39	0.33	0.9	0.29
142	586.26	379.27	285.54	40.84	39.69	26.54	23.04	28.87	18.75	-0.3	0.93	0.21	0.81	0.37	-0.46	0.5	-0.04	0.86
143	528.46	339.91	311.38	58.85	76.45	54.29	57.84	51.02	38.8	-0.29	0.78	-0.56	0.96	0.22	-0.18	0.02	0.59	0.81
144	626.67	221.24	271.03	3.38	3.83	1.68	1.72	2.15	0.86	-0.02	-0.18	0.98	0.94	-0.33	-0.04	0.33	0.93	0.18
145	405.02	457.41	316.52	40.75	49.76	34	35.14	20.67	22.45	-0.32	-0.27	0.91	0.76	-0.65	0.08	0.57	0.71	0.41
146	551.52	239.23	270.64	3.24	3.83	4.35	1.57	2.92	2.04	0.64	-0.56	0.53	0.1	0.74	0.66	0.77	0.37	-0.53
147	418.57	221.7	294.4	8.18	28.8	12.61	15.11	10.1	10.88	-0.31	0.78	0.55	0.28	-0.47	0.83	0.91	0.42	-0.07
148	533.25	153.19	307.94	72.89	40.66	29.85	40.13	23.89	39.07	-0.23	0.96	-0.15	-0.31	0.08	0.95	0.92	0.27	0.28
149	357.84	68.5	328.28	28.42	50.84	25.25	29.33	15.84	16.51	-0.37	0.17	0.91	-0.2	0.94	-0.26	0.91	0.28	0.32
150	492.36	87	318.36	34.87	33.01	14.19	28.7	12.7	10.62	0.52	0.27	0.81	0.57	0.6	-0.56	-0.64	0.75	0.16
151	633.56	277.27	333.46	45.77	52.64	54.91	27.41	29.89	13.92	0.4	0.91	-0.08	0.13	0.03	0.99	0.91	-0.41	-0.1
152	560.84	439.6	331.97	86.24	52.14	61.91	45.97	42.18	39.81	0.92	0.38	0.13	-0.3	0.87	-0.4	-0.27	0.33	0.91
153	638.4	228.4	308.88	18.1	29.14	16.97	21.14	10.86	6.71	0.29	0.65	0.71	0.11	0.71	-0.69	0.95	-0.27	-0.13
154	394.03	183.09	301.51	18.17	19.27	16.52	16.31	15.57	11.8	0.08	1	0	0.89	-0.08	-0.45	0.44	-0.03	0.9
155	652.49	253.02	302.31	10.82	13.53	9.78	8.96	5.69	9.23	0.02	0.43	0.9	0.47	0.79	-0.39	0.88	-0.43	0.19
156	198.07	200.23	335.71	51.53	38.73	13.14	52.37	16.9	26.68	0.71	0.48	0.51	-0.64	0.14	0.76	-0.3	0.86	-0.41
157	349.89	595.83	320.16	51.63	71.75	46	56.61	39.31	22.71	0.94	0.27	0.22	-0.26	0.96	-0.09	-0.24	0.03	0.97
158	564.12	159.48	305.45	46.87	15.63	29.74	10.99	5.98	12.26	0.69	0.51	-0.52	-0.6	0.8	-0.01	0.41	0.31	0.86
159	521.53	256.26	320.7	9.62	28.42	14.2	16.85	14.88	12.13	-0.31	-0.28	0.91	-0.35	0.92	0.17	0.88	0.27	0.39
160	454.68	290.43	325.87	42.28	36.08	39.31	14.91	28.28	20.87	-0.43	0.28	0.86	0.9	0.16	0.4	-0.03	0.95	-0.32
161	634.75	359.08	331.21	38.68	56.99	35.19	43.54	31.54	29.72	0.7	0.65	0.3	-0.3	-0.11	0.95	-0.65	0.75	-0.11
162	375.21	413.58	353.49	85	65.84	33.53	56.43	23.48	34.7	0.89	-0.41	0.17	-0.12	0.14	0.98	0.43	0.9	-0.08
163	589.8	273.28	330.36	51.65	35.19	28.51	30.1	31.83	18.5	0.73	0.65	0.23	0.21	-0.53	0.82	0.65	-0.55	-0.53
164	548.39	232.31	325.18	24.78	35.1	27.79	25.52	13.32	10.64	0.68	0.61	-0.39	-0.45	0.78	0.44	0.58	-0.13	0.81
165	238.78	126.61	335.77	56.77	69.91	60.69	33.79	41.73	26.96	-0.62	0.75	0.23	0.78	0.62	0.09	0.08	-0.24	0.97
166	469.31	380.08	341.32	48.89	47.64	33.47	58.17	22.42	40.45	0.86	0.33	0.38	-0.34	0.94	-0.05	-0.37	-0.08	0.92
167	452.45	55.08	308.67	2.27	1.96	1.82	1.33	1.34	0.66	0.98	0.00E+000	0.22	-0.22	0.00E+000	0.98	0.00E+000	1	-2.22E-016
168	381.53	488.37	346.01	43.72	48.74	35.4	31.52	35.84	23.56	0.95	0.04	0.3	-0.25	-0.49	0.84	-0.18	0.87	0.46
169	329.46	320.52	317.1	6.67	1.57	3.18	2.89	1.86	0.7	-0.1	0.09	0.99	0.98	-0.17	0.12	0.18	0.98	-0.07
170	560.38	123.92	328.04	18.36	5.81	14.65	3.53	8.25	10.44	-0.34	0.83	-0.45	0.73	-0.07	-0.68	0.59	0.56	0.58
171	655.44	254.2	326.82	5.73	4.02	2.53	2.26	2.7	1.6	0.36	0.93	0	0.86	-0.33	0.38	-0.35	0.14	0.92
172	400.05	528.2	358.35	30.71	36.17	25.08	24.55	16.87	13.07	0.92	-0.37	0.1	-0.31	-0.55	0.78	0.23	0.75	0.62
173	518.58	93.72	355.15	12.82	19.61	7.41	10.8	2.23	9.34	-0.06	0.66	0.75	-0.05	0.75	-0.66	1	0.07	0.01
174	332.97	289.83	360.28	41.71	47.84	45.6	19.2	32.13	15.74	0.89	0.4	-0.2	-0.44	0.68	-0.59	-0.09	0.62	0.78
175	450.96	414.26	361.05	25.51	34.41	16.84	19.21	12.3	8.08	0.62	-0.48	0.63	0.69	0.72	-0.13	-0.39	0.51	0.77
176	542.54	253.77	363.35	38.04	33.23	22.53	22.82	11.8	18.79	0.31	0.95	-0.03	-0.48	0.18	0.86	0.82	-0.25	0.51
177	612.22	309.08	374.38	24.06	49.96	22.15	32.52	12.78	13.23	-0.5	0.76	-0.41	0.86	0.39	-0.34	0.1	0.53	0.85
178	494.38	83.74	383.14	13.39	16.91	13.85	7.68	7.37	8.79	0.37	0.86	-0.37	0.16	0.33	0.93	0.92	-0.4	-0.01
179	313.64	356.87	378.4	3.94	9.05	3.24	3.73	2.16	1.77	0.03	0.77	0.64	-0.1	-0.63	0.77	0.99	-0.09	0.06
180	319.48	372.11	377.19	13.36	10.67	4.53	3.35	2.81	2.36	0.55	0.8	0.24	-0.31	-0.08	0.95	0.78	-0.59	0.21
